timestamp_ms,cpu_total%,cpu0%,cpu1%,cpu2%,cpu3%,cpu4%,cpu5%,cpu6%,cpu7%,npu_core0%,npu_core1%,npu_core2%,npu_available
123698,62.2,34.0,25.5,32.7,31.9,82.0,96.0,92.2,100.0,-1.0,-1.0,-1.0,0
124198,63.8,36.0,33.3,33.3,31.2,96.0,92.2,89.6,96.1,-1.0,-1.0,-1.0,0
124699,65.7,44.9,36.0,29.2,32.7,93.8,96.0,94.1,96.0,-1.0,-1.0,-1.0,0
125199,63.3,35.3,35.3,28.8,34.7,90.0,91.8,98.0,94.1,-1.0,-1.0,-1.0,0
125704,66.1,41.2,42.0,32.7,38.0,94.0,94.1,90.0,96.0,-1.0,-1.0,-1.0,0
126205,66.6,45.1,51.0,38.0,35.3,88.0,98.0,94.0,90.0,-1.0,-1.0,-1.0,0
126705,59.1,36.0,32.7,25.5,30.6,78.8,74.0,92.0,96.1,-1.0,-1.0,-1.0,0
127205,62.6,42.9,34.7,36.7,40.8,61.2,94.0,94.0,96.0,-1.0,-1.0,-1.0,0
127706,56.3,28.0,27.5,24.5,26.5,69.4,90.0,94.0,89.6,-1.0,-1.0,-1.0,0
128210,57.1,32.7,28.0,33.3,18.8,94.1,98.0,54.0,98.0,-1.0,-1.0,-1.0,0
128710,60.8,38.3,26.5,36.0,34.0,92.2,84.0,82.0,88.0,-1.0,-1.0,-1.0,0
129211,51.3,24.0,20.4,24.0,30.0,78.0,73.5,84.0,76.0,-1.0,-1.0,-1.0,0
129711,49.5,25.5,18.8,31.4,18.8,77.6,84.3,79.6,60.0,-1.0,-1.0,-1.0,0
130212,51.0,26.5,24.5,29.2,20.0,30.0,91.8,98.0,86.3,-1.0,-1.0,-1.0,0
130712,51.0,31.4,30.8,27.5,20.0,60.0,70.0,90.2,78.0,-1.0,-1.0,-1.0,0
131213,51.8,39.2,32.0,26.0,21.6,37.3,94.1,94.1,71.4,-1.0,-1.0,-1.0,0
131713,54.0,38.8,28.6,26.5,30.6,96.0,89.8,70.0,52.0,-1.0,-1.0,-1.0,0
132214,49.5,17.0,19.6,23.5,30.0,56.0,66.0,93.9,88.0,-1.0,-1.0,-1.0,0
132714,53.9,32.7,30.6,38.0,34.0,66.0,52.0,90.0,88.0,-1.0,-1.0,-1.0,0
133216,47.2,16.0,25.5,18.4,18.0,91.8,68.6,46.9,92.0,-1.0,-1.0,-1.0,0
133716,43.0,14.3,10.4,12.0,11.8,94.1,8.2,94.1,94.1,-1.0,-1.0,-1.0,0
134217,14.8,6.0,14.0,6.0,2.0,24.0,4.0,52.1,12.0,-1.0,-1.0,-1.0,0
134717,0.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
135218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
135718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0
136219,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,-1.0,-1.0,-1.0,0
136720,14.6,8.5,7.8,6.0,4.2,33.3,6.1,43.1,5.9,-1.0,-1.0,-1.0,0
137220,65.8,39.2,42.0,38.5,38.0,81.2,92.0,98.0,98.0,-1.0,-1.0,-1.0,0
137721,60.9,34.0,22.9,28.0,22.9,96.1,98.0,95.9,90.0,-1.0,-1.0,-1.0,0
138222,66.3,41.7,33.3,37.5,38.0,90.0,98.0,92.2,96.1,-1.0,-1.0,-1.0,0
138722,65.3,40.8,40.4,29.2,29.8,93.9,95.9,98.0,88.0,-1.0,-1.0,-1.0,0
139223,61.0,27.1,26.0,24.5,22.9,94.1,92.2,98.0,100.0,-1.0,-1.0,-1.0,0
139724,66.8,38.5,41.7,47.1,34.0,96.0,94.0,91.8,92.0,-1.0,-1.0,-1.0,0
140224,67.2,40.0,47.9,39.6,37.3,93.9,96.0,94.0,88.0,-1.0,-1.0,-1.0,0
140725,66.1,37.5,38.0,32.7,31.2,100.0,92.0,94.0,98.0,-1.0,-1.0,-1.0,0
141225,65.0,34.0,32.7,34.0,36.2,98.0,98.0,86.0,98.0,-1.0,-1.0,-1.0,0
141726,66.1,36.5,34.7,36.7,36.0,92.0,100.0,96.2,92.2,-1.0,-1.0,-1.0,0
142227,63.2,33.3,30.6,33.3,30.0,96.0,92.2,93.9,100.0,-1.0,-1.0,-1.0,0
142727,70.4,43.8,46.9,46.8,45.1,98.0,92.0,98.0,92.0,-1.0,-1.0,-1.0,0
143228,62.3,38.5,30.6,32.7,27.7,94.1,81.6,94.0,92.0,-1.0,-1.0,-1.0,0
143728,58.0,28.8,29.2,28.6,26.5,81.6,78.0,98.0,92.0,-1.0,-1.0,-1.0,0
144229,61.3,33.3,30.0,40.0,34.0,62.7,92.0,100.0,100.0,-1.0,-1.0,-1.0,0
144739,58.0,39.2,27.5,28.6,28.0,54.9,98.0,94.0,94.1,-1.0,-1.0,-1.0,0
145239,57.1,32.0,22.4,22.4,28.6,64.0,92.3,98.0,92.2,-1.0,-1.0,-1.0,0
145740,52.5,22.9,20.4,22.9,22.4,94.0,46.0,92.0,96.1,-1.0,-1.0,-1.0,0
146240,59.3,33.3,31.2,30.6,30.6,92.0,80.0,82.0,92.2,-1.0,-1.0,-1.0,0
146741,63.4,40.0,36.7,37.3,36.0,98.0,74.0,94.0,92.0,-1.0,-1.0,-1.0,0
147242,55.4,30.6,24.5,24.5,21.3,95.9,58.8,88.0,96.0,-1.0,-1.0,-1.0,0
147742,55.4,28.0,26.0,22.4,24.0,84.0,96.0,94.0,66.0,-1.0,-1.0,-1.0,0
148243,52.2,25.5,18.8,18.8,21.2,98.0,73.5,92.0,71.4,-1.0,-1.0,-1.0,0
148743,57.5,30.6,25.0,31.4,26.5,89.6,68.6,92.0,94.0,-1.0,-1.0,-1.0,0
149244,55.2,27.5,24.5,22.4,20.4,90.0,68.8,94.0,94.0,-1.0,-1.0,-1.0,0
149744,55.1,26.0,22.0,22.4,22.4,86.3,78.0,89.8,92.0,-1.0,-1.0,-1.0,0
150245,58.7,32.7,22.9,26.0,23.4,92.0,84.0,94.2,91.8,-1.0,-1.0,-1.0,0
150745,29.1,14.0,6.1,8.2,8.0,52.0,52.0,27.7,62.0,-1.0,-1.0,-1.0,0
